UID;Artist Name;Track Title;Album Title;Date;Genre;Style;Length;Release;Publisher;Album Artist;Rating;Mood;Track Number;Total Tracks;Disc Number;Total Discs;URL;Play count;First played;Last played;Play stamp;Track URL
atbsni3700am01;Arturo Toscanini;Allegro ma non troppo (Erwachen heiterer Gefühle bei der Ankunft auf dem Lande);Beethoven, Symphony No.6 in F major, Op.68;1937;Classical;Live, Traditional;537;?;?;Arturo Toscanini;3;2;01;05;1;1;http://www.archive.org/details/BeethovenSymphony6;3;2009-12-30 12:34:33;2010-01-04 22:06:44;2009-12-30 12:34:33, 2009-12-30 15:32:20, 2010-01-04 22:06:44;?
atbsni3757am02;Arturo Toscanini;Andante molto mosso (Szene am Bach);Beethoven, Symphony No.6 in F major, Op.68;1937;Classical;Live, Traditional;698;?;?;Arturo Toscanini;3;1;02;05;1;1;http://www.archive.org/details/BeethovenSymphony6;4;2009-12-30 12:44:02;2010-02-02 00:27:41;2009-12-30 12:44:02, 2009-12-30 15:41:49, 2010-01-04 22:16:13, 2010-02-02 00:27:41;?
atbsni3795al03;Arturo Toscanini;Allegro (Lustiges Zusammensein der Landleute);Beethoven, Symphony No.6 in F major, Op.68;1937;Classical;Live, Traditional;304;?;?;Arturo Toscanini;3;2;03;05;1;1;http://www.archive.org/details/BeethovenSymphony6;3;2009-12-30 15:52:08;2010-02-02 00:34:09;2009-12-30 15:52:08, 2010-01-04 22:25:33, 2010-02-02 00:34:09;?
atbsni3730ag04;Arturo Toscanini;Allegro (Gewitter und Sturm);Beethoven, Symphony No.6 in F major, Op.68;1937;Classical;Live, Traditional;206;?;?;Arturo Toscanini;3;2;04;05;1;1;http://www.archive.org/details/BeethovenSymphony6;2;2009-12-30 15:56:53;2010-01-04 22:30:18;2009-12-30 15:56:53, 2010-01-04 22:30:18;?
atbsni3722ah05;Arturo Toscanini;Allegretto (Hirtengesänge - Frohe und dankbare Gefühle nach dem Sturm);Beethoven, Symphony No.6 in F major, Op.68;1937;Classical;Live, Traditional;534;?;?;Arturo Toscanini;3;2;05;05;1;1;http://www.archive.org/details/BeethovenSymphony6;2;2009-12-30 16:01:25;2010-01-04 22:34:50;2009-12-30 16:01:25, 2010-01-04 22:34:50;?
atbsni3920ac01;Arturo Toscanini, NBC Symphony Orchestra;Allegro con brio;Beethoven, Symphony No.5 in C minor, Op.67;1939;Classical;Live, Traditional;436;?;?;Arturo Toscanini;5;2;01;04;1;1;http://www.archive.org/details/BeethovenSymphonyNo.5;4;2010-01-13 02:07:44;2012-06-07 22:36:15;2010-01-13 02:07:44, 2010-04-25 20:08:29, 2011-08-20 00:38:26, 2012-06-07 22:36:15;?
atbsni3931ac02;Arturo Toscanini, NBC Symphony Orchestra;Andante con moto;Beethoven, Symphony No.5 in C minor, Op.67;1939;Classical;Live, Traditional;578;?;?;Arturo Toscanini;2;2;02;04;1;1;http://www.archive.org/details/BeethovenSymphonyNo.5;1;2009-12-29 11:20:58;2009-12-29 11:20:58;2009-12-29 11:20:58;?
atbsni3912sa03;Arturo Toscanini, NBC Symphony Orchestra;Scherzo. Allegro;Beethoven, Symphony No.5 in C minor, Op.67;1939;Classical;Live, Traditional;308;?;?;Arturo Toscanini;3;2;03;04;1;1;http://www.archive.org/details/BeethovenSymphonyNo.5;2;2010-01-13 02:14:33;2010-02-07 15:19:53;2010-01-13 02:14:33, 2010-02-07 15:19:53;?
atbsni3913fa04;Arturo Toscanini, NBC Symphony Orchestra;Finale. Allegro;Beethoven, Symphony No.5 in C minor, Op.67;1939;Classical;Live, Traditional;545;?;?;Arturo Toscanini;3;2;04;04;1;1;http://www.archive.org/details/BeethovenSymphonyNo.5;2;2010-01-13 02:20:29;2010-02-06 11:39:33;2010-01-13 02:20:29, 2010-02-06 11:39:33;?
bgtf193833db101;Edgar Sampson, Benny Goodman, Mitchell Parish;Don't Be That Way;The Famous 1938 Carnegie Hall Jazz Concert;1938;Jazz;Free Improvisation, Live;252;?;?;Benny Goodman;2;2;01;08;1;4;http://www.archive.org/details/TheFamous1938CarnegieHallJazzConcert;3;2009-12-29 14:58:10;2010-01-15 22:48:50;2009-12-29 14:58:10, 2009-12-29 17:04:58, 2010-01-15 22:48:50;?
