activity,album,artist,catalog,duration,genre,id,label,licenseurl,rating,style,totaldiscs,totaltracks,url,year
2.0,Recórcholis,Various Artists,001jazz01,3345,Jazz,001netlabel-jazz-01-recorcholis,001 Records,http://creativecommons.org/licenses/by-nc-nd/3.0/,3.0,"Instrumental, Modern",1,7,http://www.archive.org/details/001netlabel-jazz-01-recorcholis,2010
1.94,ANDES,Various Artists,?,4681,Electronic,001netlabel.com-11-ANDES,001 Records,http://creativecommons.org/licenses/by-nc-nd/3.0/,2.06,Compilation,1,16,http://archive.org/details/001netlabel.com-11-ANDES,2011
2.0,Contradictions EP,Monochord,1011AD,1582,Electronic,1011AD,After-Dinner,http://creativecommons.org/licenses/by-nc-sa/2.5/,1.75,Minimal,1,4,http://archive.org/details/1011AD,2006
1.4,10 songs of 28 years,Stephan Siebert,?,3485,Jazz,11_songs_of_28_years-12275,Free Music Archive,http://creativecommons.org/licenses/by-nc-sa/3.0/,2.4,Easy Listening,1,10,http://archive.org/details/11_songs_of_28_years-12275,2012
2.0,Sichtbeton LP,Sichtbeton,12rec.010,2500,Hip Hop,12rec.010,12rec.,http://creativecommons.org/licenses/by-nc-nd/2.0/,2.38,"Rap, German",1,13,http://www.archive.org/details/12rec.010,2003
1.83,bars closing down,milhaven,12rec.014,3305,Rock,12rec.014,12rec.,http://creativecommons.org/licenses/by-nc-sa/2.0/,2.0,Post Rock,1,6,http://www.archive.org/details/12rec.014,2004
1.9,Skism EP,Skism,12rec.024,1983,Hip Hop,12rec.024,12rec.,http://creativecommons.org/licenses/by-nc-sa/2.5/,1.9,Instrumental,1,10,http://archive.org/details/12rec.024,2005
1.27,Giraffe LP,Giraffe,12rec.026,2528,Rock,12rec.026,12rec.,http://creativecommons.org/licenses/by-nc-sa/2.5/,2.55,"Post Rock, Indie",1,11,http://www.archive.org/details/12rec.026,2005
1.75,EP02,Jasmin,12rec.027,1508,Rock,12rec.027,12rec.,http://creativecommons.org/licenses/by-nc-sa/2.5/,2.75,"Post Rock, Instrumental",1,4,http://archive.org/details/12rec.027,2004
1.14,Sky Diaries EP,Crepusculum,12rec.036,1421,Pop,12rec.036,12rec.,http://creativecommons.org/licenses/by-nc-sa/2.5/,3.29,"Instrumental, Acoustic, Folk",1,7,http://www.archive.org/details/12rec.036,2006
2.0,Rob Hunter EP,Rob Hunter,12rec.038,1456,Pop,12rec.038,12rec.,http://creativecommons.org/licenses/by-nc-sa/3.0/,2.14,Funk,1,7,http://archive.org/details/12rec.038,2007
1.0,Ocean! Be Our Blanket,Herzog,12rec.039,1832,Electronic,12rec.039,12rec.,http://creativecommons.org/licenses/by-nc-sa/3.0/,1.88,"Ambient, Glitch",1,8,http://archive.org/details/12rec.039,2007
1.29,"Turned, and Turning EP",Protestant Work Ethic,12rec.045,1599,Pop,12rec.045,12rec.,http://creativecommons.org/licenses/by-nc-sa/2.0/de/,2.71,"Indie, Folk",1,7,http://archive.org/details/12rec.045,2007
1.89,Hermelin,Hermelin,12rec.049,3221,Rock,12rec.049,12rec.,http://creativecommons.org/licenses/by-nc-sa/2.0/de/,2.78,Post Rock,1,9,http://www.archive.org/details/12rec.049,2008
