activity,disc,duration,id,rating,title,track,trackartist,trackurl
1,1,2568,hprccmix001,2,#CCmixtape 1,1,#CCmixtape,http://www.archive.org/download/hprccmix001/CCMIXTAPE001_-_Over_Clouds_160.mp3
1,1,245,dt006,4,Orange Horizon,1,(Val)liam,http://www.archive.org/download/dt006/dt006_01_valliam_-_orange_horizon.mp3
1,1,503,dt006,3,Dissolution,2,(Val)liam,http://www.archive.org/download/dt006/dt006_02_valliam_-_dissolution.mp3
1,1,466,dt006,2,Avalon,3,(Val)liam,http://www.archive.org/download/dt006/dt006_03_valliam_-_avalon.mp3
1,1,272,dt006,3,Distance,4,(Val)liam,http://www.archive.org/download/dt006/dt006_04_valliam_-_distance.mp3
1,1,390,dt006,2,Negative Ions,5,(Val)liam,http://www.archive.org/download/dt006/dt006_05_valliam_-_negative_ions.mp3
1,1,323,dt006,2,Somewhere Not Here,6,(Val)liam,http://www.archive.org/download/dt006/dt006_06_valliam_-_somewhere_not_here.mp3
1,1,406,dt006,2,Pass Out,7,(Val)liam,http://www.archive.org/download/dt006/dt006_07_valliam_-_pass_out.mp3
1,1,241,dt006,3,Wonder,8,(Val)liam,http://www.archive.org/download/dt006/dt006_08_valliam_-_wonder.mp3
2,1,370,dt006,2,Early Reflections,9,(Val)liam,http://www.archive.org/download/dt006/dt006_09_valliam_-_early_reflections.mp3
0,1,281,enrmp333__crk_-_disconnect,0,Disconnect,1,.crk,http://www.archive.org/download/enrmp333__crk_-_disconnect/01__crk_-_disconnect.mp3
3,1,410,enrmp333__crk_-_disconnect,2,Fallout,2,.crk,http://www.archive.org/download/enrmp333__crk_-_disconnect/02__crk_-_fallout.mp3
2,1,244,enrmp333__crk_-_disconnect,1,Interlude 1,3,.crk,http://www.archive.org/download/enrmp333__crk_-_disconnect/03__crk_-_interlude_1.mp3
0,1,409,enrmp333__crk_-_disconnect,0,Dreamfall,4,.crk,http://www.archive.org/download/enrmp333__crk_-_disconnect/04__crk_-_dreamfall.mp3
0,1,484,enrmp333__crk_-_disconnect,0,Your Song,5,.crk,http://www.archive.org/download/enrmp333__crk_-_disconnect/05__crk_-_your_song.mp3
0,1,182,enrmp333__crk_-_disconnect,0,Interlude 2,6,.crk,http://www.archive.org/download/enrmp333__crk_-_disconnect/06__crk_-_interlude_2.mp3
1,1,160,os004,3,Movement 1 : Making Waves,1,.Tape.,http://www.archive.org/download/os004/os004-01_-_Tape_-_Making_Waves.mp3
1,1,214,os004,3,Movement 2 : Island,2,.Tape.,http://www.archive.org/download/os004/os004-02_-_Tape_-_Island.mp3
2,1,364,os004,3,Movement 3 : Sea-Scaping Monthly,3,.Tape.,http://www.archive.org/download/os004/os004-03_-_Tape_-_Sea-Scaping_Monthly.mp3
2,1,199,os004,3,Movement 4 : Travel Kit,4,.Tape.,http://www.archive.org/download/os004/os004-01_-_Tape_-_Making_Waves.mp3
2,1,454,neumatobiishi,2,029 (Tiny Song) Revised,1,[neuma],http://www.archive.org/download/neumatobiishi/sern29_.neuma.-01-029_tiny_song_revised.mp3
1,1,263,neumatobiishi,1,187 (Candlelight),2,[neuma],http://www.archive.org/download/neumatobiishi/sern29_.neuma.-02-187_candlelight.mp3
2,1,198,neumatobiishi,2,219 (Efecto Placebo),3,[neuma],http://www.archive.org/download/neumatobiishi/sern29_.neuma.-03-219_efecto_placebo.mp3
2,1,228,neumatobiishi,2,166 (Adding Some Nitrates),4,[neuma],http://www.archive.org/download/neumatobiishi/sern29_.neuma.-04-166_adding_some_nitrates.mp3
1,1,342,neumatobiishi,1,Lovenest (Feat Lucrecia),5,[neuma],http://www.archive.org/download/neumatobiishi/sern29_.neuma.-05-Lovenest_feat_lucrecia.mp3
1,1,255,neumatobiishi,2,127 (Good Manners),6,[neuma],http://www.archive.org/download/neumatobiishi/sern29_.neuma.-06-127_good_manners.mp3
2,1,265,neumatobiishi,1,180 (Ridoir),7,[neuma],http://www.archive.org/download/neumatobiishi/sern29_.neuma.-07-180_ridoir.mp3
0,1,61,hujan019,0,Sambassador,1,{tantrum},http://www.archive.org/download/hujan019/01_-_tantrum_-_Sambassador.mp3
0,1,194,hujan019,0,Passed By,2,{tantrum},http://www.archive.org/download/hujan019/02_-_tantrum_-_Passed_By.mp3
2,1,9,hujan019,1,*,3,{tantrum},http://www.archive.org/download/hujan019/03_-_tantrum_-__.mp3
0,1,268,hujan019,0,Beach Bum,4,{tantrum},http://www.archive.org/download/hujan019/04_-_tantrum_-_Beach_Bum.mp3
2,1,12,hujan019,1,**,5,{tantrum},http://www.archive.org/download/hujan019/05_-_tantrum_-___.mp3
0,1,289,hujan019,0,Parah feat. Maria Stereomantic,6,{tantrum},http://www.archive.org/download/hujan019/06_-_tantrum_-_Parah_Feat_Maria_Stereomantic.mp3
2,1,17,hujan019,1,***,7,{tantrum},http://www.archive.org/download/hujan019/07_-_tantrum_-____.mp3
